##T[K]	p[bar]	E[V/mm]	v[mm/ms]	dL[mm^1/2]	dT[mm^1/2]
293.15	31	300	3600.26	0.0144256	0.0195677
293.15	31	310	3656.67	0.0140238	0.0192114
293.15	31	320	3715.42	0.0141723	0.0189756
293.15	31	330	3780.16	0.0141691	0.0186291
293.15	31	340	3833.66	0.0139327	0.0190681
293.15	31	350	3891.09	0.0139489	0.0190201
293.15	31	360	3946.06	0.0140918	0.0185101
293.15	31	370	4001.67	0.0136844	0.0186031
293.15	31	380	4047.5	0.0131077	0.0184954
293.15	31	390	4090.33	0.0136943	0.0183828
293.15	31	400	4146.03	0.0131685	0.0188692
293.15	30	100	1798.51	0.0222638	0.0254325
293.15	30	110	1937.89	0.021842	0.0240319
293.15	30	120	2068.99	0.0204449	0.0239021
293.15	30	130	2193.99	0.0198546	0.0233464
293.15	30	140	2299.16	0.018839	0.0224823
293.15	30	150	2414.03	0.0186546	0.0223473
293.15	30	160	2518.08	0.0174827	0.0216777
293.15	30	170	2622.68	0.0182727	0.0213207
293.15	30	180	2724.77	0.0174484	0.0215399
293.15	30	190	2809.16	0.0170363	0.0215568
293.15	30	200	2907.13	0.0173275	0.0208074
293.15	30	210	2987.68	0.017127	0.0206096
293.15	30	220	3077.98	0.0165063	0.0203617
293.15	30	230	3154.07	0.0156613	0.0202564
293.15	30	240	3233.74	0.0159563	0.0199145
293.15	30	250	3309.47	0.0156233	0.0196894
293.15	30	260	3381.77	0.0151898	0.0198147
293.15	30	270	3455.57	0.0152874	0.0201853
293.15	30	280	3525.27	0.014592	0.0194872
293.15	30	290	3592.21	0.0145178	0.0191449
293.15	30	300	3662.6	0.0142677	0.0189976
293.15	30	310	3724.23	0.0143747	0.0191411
293.15	30	320	3786.33	0.0146368	0.0194855
293.15	30	330	3840.64	0.0143287	0.0190015
293.15	30	340	3900.26	0.0141879	0.0189743
293.15	30	350	3957.55	0.0138892	0.0191581
293.15	30	360	4007.13	0.0141491	0.0192447
293.15	30	370	4063.65	0.0137634	0.0184997
293.15	30	380	4109.09	0.0134449	0.0188663
293.15	30	390	4155.09	0.013429	0.018656
293.15	30	400	4208.12	0.0133904	0.0191993
293.15	13	100	3164.66	0.0237686	0.0305024
293.15	13	110	3341.38	0.0235474	0.0302731
293.15	13	120	3509.51	0.0228917	0.0299066
293.15	13	130	3666.57	0.0218854	0.0292479
293.15	13	140	3811.27	0.0217546	0.0295074
293.15	13	150	3921.59	0.0211615	0.0283934
293.15	13	160	4050.2	0.0206664	0.0284506
293.15	13	170	4165.11	0.0204325	0.0285018
293.15	13	180	4282.61	0.0196314	0.0280595
293.15	13	190	4400.96	0.0203141	0.0282781
293.15	13	200	4485.79	0.019862	0.0279367
293.15	13	210	4579.09	0.019863	0.0282182
293.15	13	220	4670.42	0.0193933	0.0274181
293.15	13	230	4758.58	0.0191167	0.0280286
293.15	13	240	4847.22	0.0197166	0.0273171
293.15	13	250	4923.24	0.0187394	0.0270072
293.15	13	260	4997.31	0.0193776	0.0271298
293.15	13	270	5082.22	0.0186382	0.0270138
293.15	13	280	5150.02	0.0191352	0.0274371
293.15	13	290	5222.24	0.0191275	0.0270401
293.15	13	300	5276.56	0.0185907	0.0273632
293.15	13	310	5371.82	0.0182206	0.0273467
293.15	13	320	5429.45	0.0185352	0.0268344
293.15	13	330	5496.45	0.0181026	0.0267956
293.15	13	340	5555.45	0.0184789	0.026695
293.15	13	350	5626.97	0.017729	0.0271412
293.15	13	360	5687.52	0.0178322	0.0269382
293.15	13	370	5757.39	0.0179208	0.0265998
293.15	13	380	5806.22	0.017709	0.026748
293.15	13	390	5873.48	0.0180277	0.0270573
293.15	13	400	5929.85	0.0173265	0.0266609
293.15	16	100	2790.14	0.0225986	0.0287873
293.15	16	110	2956.18	0.022577	0.0281686
293.15	16	120	3125.36	0.0223806	0.028562
293.15	16	130	3261.18	0.0214436	0.0273237
293.15	16	140	3412.4	0.0207224	0.0268621
293.15	16	150	3531.68	0.0206483	0.0269733
293.15	16	160	3656.85	0.0202444	0.026251
293.15	16	170	3774.83	0.0194407	0.026482
293.15	16	180	3892.96	0.0188583	0.0261589
293.15	16	190	3987.42	0.0190427	0.025971
293.15	16	200	4086.76	0.0189711	0.0260316
293.15	16	210	4181.14	0.0182482	0.0254727
293.15	16	220	4266.34	0.0177958	0.0259139
293.15	16	230	4358.5	0.0180865	0.0257853
293.15	16	240	4435.12	0.0180318	0.0255761
293.15	16	250	4522.69	0.0184907	0.0250534
293.15	16	260	4592.39	0.0181087	0.0250278
293.15	16	270	4661.03	0.0174492	0.0252844
293.15	16	280	4732.93	0.0171757	0.0251445
293.15	16	290	4811.19	0.0174766	0.024795
293.15	16	300	4870.19	0.0173742	0.0247801
293.15	16	310	4955.82	0.0168003	0.0245671
293.15	16	320	5012.56	0.0171207	0.0247355
293.15	16	330	5070.83	0.0170143	0.0242953
293.15	16	340	5124.42	0.0169348	0.0245866
293.15	16	350	5183.83	0.0164809	0.024539
293.15	16	360	5238.61	0.0165749	0.0242194
293.15	16	370	5308.31	0.0165609	0.0247799
293.15	16	380	5352.9	0.0165717	0.0242974
293.15	16	390	5403.67	0.0163832	0.0251331
293.15	16	400	5457.82	0.0163089	0.0242923
