##T[K]	p[bar]	E[V/mm]	v[mm/ms]	dL[mm^1/2]	dT[mm^1/2]
293.15	21	310	4617.14	0.0223575	0.0327027
293.15	21	320	4678.21	0.0224403	0.0326987
293.15	21	330	4746.54	0.0225696	0.032622
293.15	21	340	4820.5	0.0218469	0.0322496
293.15	21	350	4884.18	0.0217796	0.0317147
293.15	21	360	4944.85	0.0217669	0.0324834
293.15	21	370	5020.22	0.0228591	0.0319813
293.15	21	380	5068.7	0.0219854	0.0322077
293.15	21	390	5143.55	0.0224643	0.0322041
293.15	21	400	5209.86	0.0226598	0.0316153
293.15	15	100	3166.1	0.0283121	0.0400052
293.15	15	110	3321.47	0.028842	0.0405311
293.15	15	120	3468.41	0.0280807	0.0388134
293.15	15	130	3603.45	0.0284171	0.0386583
293.15	15	140	3738.21	0.0273971	0.039039
293.15	15	150	3856.55	0.0273611	0.0386067
293.15	15	160	3970.42	0.0275572	0.0392138
293.15	15	170	4089.23	0.0273928	0.0387781
293.15	15	180	4188.4	0.0266829	0.0394108
293.15	15	190	4302.7	0.0263924	0.0391126
293.15	15	200	4401.88	0.0267308	0.038526
293.15	15	210	4513.78	0.0270948	0.0382446
293.15	15	220	4601.44	0.0260559	0.0387229
293.15	15	230	4690.65	0.0265674	0.0389218
293.15	15	240	4798.86	0.0263031	0.0379411
293.15	15	250	4886.86	0.0269817	0.0383531
293.15	15	260	4968.53	0.026112	0.0383188
293.15	15	270	5078.13	0.0264873	0.0376737
293.15	15	280	5148.46	0.026386	0.0377069
293.15	15	290	5250.44	0.0262079	0.0378638
293.15	15	300	5326.39	0.0261567	0.0379904
293.15	15	310	5431.5	0.0268	0.0371766
293.15	15	320	5503.1	0.0266586	0.0373506
293.15	15	330	5589.96	0.0261411	0.0372068
293.15	15	340	5668.09	0.0256925	0.0373235
293.15	15	350	5777.34	0.0256096	0.0375486
293.15	15	360	5855.85	0.025184	0.0365123
293.15	15	370	5937.04	0.0270232	0.0370191
293.15	15	380	6003.96	0.0260469	0.0362544
293.15	15	390	6090.58	0.0264993	0.036215
293.15	15	400	6187.19	0.0270796	0.0363168
293.15	9	100	4039.46	0.0344341	0.0486572
293.15	9	110	4226.17	0.0351075	0.0496602
293.15	9	120	4403.85	0.034306	0.0496602
293.15	9	130	4575.09	0.0343073	0.0499081
293.15	9	140	4742.49	0.0343982	0.0489333
293.15	9	150	4892.15	0.0339691	0.0487645
293.15	9	160	5043.32	0.0330345	0.0479718
293.15	9	170	5185.37	0.0333136	0.0487235
293.15	9	180	5335.01	0.0335541	0.0486673
293.15	9	190	5469.32	0.0328897	0.0473491
293.15	9	200	5626.6	0.0337664	0.0478441
293.15	9	210	5769.91	0.033232	0.0482637
293.15	9	220	5923	0.0327433	0.0475259
293.15	9	230	6051.29	0.0330002	0.0472726
293.15	9	240	6190.11	0.0345344	0.0469866
293.15	9	250	6318.36	0.0332656	0.0471011
293.15	9	260	6453.65	0.0330294	0.0461944
293.15	9	270	6586.92	0.0340758	0.0470144
293.15	9	280	6715.81	0.0324289	0.0459473
293.15	9	290	6848.73	0.0312542	0.0462991
293.15	9	300	6982.01	0.0329875	0.0463868
293.15	9	310	7105.24	0.0325773	0.0456801
293.15	9	320	7233.86	0.0327219	0.0455041
293.15	9	330	7376.57	0.0333416	0.0456557
293.15	9	340	7488.88	0.0322284	0.0447085
293.15	9	350	7609.15	0.0325485	0.0450628
293.15	9	360	7738.18	0.0325688	0.0460389
293.15	9	370	7850.2	0.0318563	0.0441596
293.15	9	380	7983.15	0.0332585	0.0451444
293.15	9	390	8093.32	0.0322869	0.044517
293.15	9	400	8200.35	0.0325285	0.0445482
293.15	24	100	2454.91	0.024747	0.0328104
293.15	24	110	2592.34	0.0248795	0.032914
293.15	24	120	2722.27	0.0243378	0.0324293
293.15	24	130	2842.28	0.0236457	0.0326866
293.15	24	140	2965.57	0.0238251	0.0317009
293.15	24	150	3065.38	0.0232593	0.0317641
293.15	24	160	3160.4	0.0233612	0.0319787
293.15	24	170	3260.34	0.0226841	0.0313781
293.15	24	180	3356.09	0.0216088	0.0316071
293.15	24	190	3454.37	0.0217103	0.0310853
293.15	24	200	3536.48	0.022703	0.0319512
293.15	24	210	3627.81	0.0220711	0.0306307
293.15	24	220	3700.38	0.0214217	0.031213
293.15	24	230	3777.77	0.0214183	0.0312958
293.15	24	240	3856.08	0.0218342	0.0308388
293.15	24	250	3925.44	0.0210617	0.0310807
293.15	24	260	3993.84	0.021424	0.0304744
293.15	24	270	4070.18	0.0219088	0.0310164
293.15	24	280	4137.98	0.0206332	0.0306868
293.15	24	290	4198.35	0.0210874	0.0302501
293.15	24	300	4265.86	0.0216863	0.0304812
293.15	24	310	4323.25	0.0215854	0.0304109
293.15	24	320	4401.7	0.0213579	0.02988
293.15	24	330	4461.27	0.0212398	0.0296914
293.15	24	340	4518.87	0.0210389	0.0303983
293.15	24	350	4585.26	0.0203928	0.0303184
293.15	24	360	4655.13	0.0209512	0.0301938
293.15	24	370	4699.54	0.0211535	0.0301074
293.15	24	380	4768.93	0.0211053	0.0305074
293.15	24	390	4832.18	0.0208344	0.0298031
293.15	24	400	4882.35	0.0204287	0.0302146
293.15	22	100	2581.85	0.0252142	0.0355186
293.15	22	110	2718.62	0.0254216	0.0342412
293.15	22	120	2850.42	0.0252158	0.0333016
293.15	22	130	2979.04	0.0247863	0.0330471
293.15	22	140	3095.77	0.0238701	0.0329943
293.15	22	150	3199.1	0.0241908	0.033052
293.15	22	160	3308.77	0.0241004	0.0323597
293.15	22	170	3404.77	0.0235024	0.0318754
293.15	22	180	3501.15	0.0228632	0.0321891
293.15	22	190	3598.14	0.0235133	0.032067
293.15	22	200	3684.08	0.023392	0.0325327
293.15	22	210	3780.98	0.0229323	0.032368
293.15	22	220	3854.6	0.0223345	0.0327336
293.15	22	230	3932.58	0.0225966	0.0320337
293.15	22	240	4012.63	0.0224426	0.0326804
293.15	22	250	4091.09	0.0222064	0.0320868
293.15	22	260	4158.07	0.0224958	0.0316873
293.15	22	270	4240.59	0.0223591	0.031648
